winery,vintage,year,region,rating,ratings_count,country_rank,region_rank,winery_rank,global_rank,foods,alcohol,drink_from,drink_until,style,body,body_desc,acidity,acidity_desc,grapes,price,highlights
Alce&#241;o,Premium50BarricasSyrah,2018,Jumilla,3.9,222,5,6,5,6,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",14.5,,,Spanish Syrah,4,Full-bodied,3,High,Shiraz/Syrah,9.5,"['Among top 6% of all wines in the world', 'Latest vintage available', 'Cheapest vintage available']"
AlemanyiCorri&#243;,SotLefriec,2012,Pened&#232;s,4.2,29,7,8,27,7,"['Beef', 'Pasta', 'Veal', 'Poultry']",,,,Spanish Red,4,Full-bodied,3,High,Cabernet Sauvignon,73.94,[]
AlemanyiCorri&#243;,SotLefriec,2006,Pened&#232;s,4.2,63,4,4,10,4,"['Beef', 'Pasta', 'Veal', 'Poultry']",,,,Spanish Red,4,Full-bodied,3,High,,146.05,[]
AlemanyiCorri&#243;,SotLefriec,2004,Pened&#232;s,4.2,44,6,7,20,6,"['Beef', 'Pasta', 'Veal', 'Poultry']",,,,Spanish Red,4,Full-bodied,3,High,Cabernet Sauvignon,146.05,['Oldest vintage available']
AlfredoArribas,GotesdelPriorat,2017,Priorat,3.8,559,7,11,20,8,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",14,,,Spanish Priorat Red,4,Full-bodied,3,High,Cari&#241;ena,18.74,['Oldest vintage available']
AlfredoArribas,GotesdelPriorat,2018,Priorat,3.9,175,5,8,12,6,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",14,,,Spanish Priorat Red,4,Full-bodied,3,High,Shiraz/Syrah,17.03,"['Now discounted by 16%', 'Latest vintage available', 'Cheapest vintage available']"
AlfredoArribas,TrossosTrosNegre,2013,Montsant,4.2,62,4,5,5,4,"['Beef', 'Pasta', 'Lamb']",14,,,Spanish Montsant Red,4,Full-bodied,3,High,Grenache,48.95,"['This vintage rates better than any other year for this wine', 'Popular among Vivino users. More than 60 ratings']"
Ali&#243;n,RiberadelDuero,2016,RiberadelDuero,4.6,4494,1,1,2,1,"['Beef', 'Lamb', 'Game (deer, venison)']",15,2020,2030,Spanish Ribera Del Duero Red,5,Very full-bodied,3,High,Tempranillo,92.48,['Among top 1% of all wines in the world']
Ali&#243;n,RiberadelDuero,2001,RiberadelDuero,4.4,680,1,2,24,1,"['Beef', 'Lamb', 'Game (deer, venison)']",,,,Spanish Ribera Del Duero Red,5,Very full-bodied,3,High,Tempranillo,105.2,[]
Ali&#243;n,RiberadelDuero,2011,RiberadelDuero,4.4,6937,1,2,14,1,"['Beef', 'Lamb', 'Game (deer, venison)']",14,,,Spanish Ribera Del Duero Red,5,Very full-bodied,3,High,Tinto Fino,105.2,"['Featured in Best wines over &#8364;60 right now', 'Oldest vintage available']"
Ali&#243;n,RiberadelDuero,2015,RiberadelDuero,4.5,5351,1,1,7,1,"['Beef', 'Lamb', 'Game (deer, venison)']",15,2019,2030,Spanish Ribera Del Duero Red,5,Very full-bodied,3,High,Tempranillo,84.95,[]
Ali&#243;n,RiberadelDuero,2004,RiberadelDuero,4.4,1120,1,2,23,1,"['Beef', 'Lamb', 'Game (deer, venison)']",12.5,,,Spanish Ribera Del Duero Red,5,Very full-bodied,3,High,Tempranillo,105.2,[]
Ali&#243;n,RiberadelDuero,2018,RiberadelDuero,4.5,112,1,2,12,1,"['Beef', 'Lamb', 'Game (deer, venison)']",15,,,Spanish Ribera Del Duero Red,5,Very full-bodied,3,High,Tinto Fino,94.73,"['Latest vintage available', 'Cheapest vintage available']"
Ali&#243;n,RiberadelDuero,2017,RiberadelDuero,4.6,2179,1,1,3,1,"['Beef', 'Lamb', 'Game (deer, venison)']",15,,,Spanish Ribera Del Duero Red,5,Very full-bodied,3,High,Tempranillo,94.5,"['Good value for money. Similar wines usually cost 74% more.', '94 by Tim Atkin']"
Ali&#243;n,RiberadelDuero,2014,RiberadelDuero,4.5,7232,1,1,6,1,"['Beef', 'Lamb', 'Game (deer, venison)']",14.5,2018,2030,Spanish Ribera Del Duero Red,5,Very full-bodied,3,High,Tinto Fino,84.95,[]
AlonsodelYerro,Mar&#237;aRiberadelDuero,2014,RiberadelDuero,4.2,91,2,6,21,2,"['Beef', 'Lamb', 'Game (deer, venison)']",15,,,Spanish Ribera Del Duero Red,5,Very full-bodied,3,High,Tempranillo,70.77,[]
AlonsodelYerro,PaydosToro,2016,Toro,4.1,75,4,11,50,5,"['Beef', 'Lamb', 'Game (deer, venison)']",15,,,Spanish Toro Red,5,Very full-bodied,3,High,Tinta de toro,36.95,[]
AlonsodelYerro,RiberadelDuero,2015,RiberadelDuero,4.1,696,2,7,23,2,"['Beef', 'Lamb', 'Game (deer, venison)']",14,2018,2025,Spanish Ribera Del Duero Red,5,Very full-bodied,3,High,Tempranillo,29.67,"['93 by ABC', 'Among top 2% of all wines in the world']"
AltaAlella,Merla,2019,Alella,4,162,4,5,10,4,"['Beef', 'Pasta', 'Veal', 'Poultry']",14,,,Spanish Red,4,Full-bodied,3,High,Mataro,20.3,[]
AltaAlella,Orbus,2016,Alella,4.3,100,1,1,1,1,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",,,,Spanish Syrah,4,Full-bodied,3,High,,30,"['This vintage rates better than any other year for this wine', 'Among top 1% of all wines in the world']"
Altanza,RiojaCrianza,2017,Rioja,3.8,345,8,9,11,8,"['Beef', 'Lamb', 'Veal', 'Poultry']",13.5,,,Spanish Rioja Red,,,,,Tempranillo,14.75,[]
Altanza,RiojaReserva,2014,Rioja,4,777,3,4,5,4,"['Beef', 'Lamb', 'Veal', 'Poultry']",14,,,Spanish Rioja Red,4,Full-bodied,3,High,Tempranillo,18.29,[]
